Reference,Quantity,Value,Footprint,Manufacturer,MPN,Layer,
D10 D11 D12 D13 D6 D7 D8 D9,8,LG_L29K-G2J1-24-Z,LED_0603,OSRAM Opto Semiconductors Inc.,LG L29K-G2J1-24-Z,Top,
D2 D5,2,TPD2EUSB30DRTR,SOT-3,Texas Instruments,TPD2EUSB30DRTR,Top,
J1 J3,2,3220-10-0100-00,PinHeader_2x5_P1.27mm_Drill.7mm,CNC Tech,3220-10-0100-00,Top,
J10 J5,2,0473460001,USB_Micro_B_Female_0473460001,Molex,0473460001,Top,
J6 J7,2,556500488,556500488,Molex,556500488,Top,
J8 J9,2,WE_686115148922_FLIPPED,WE_686115148922_FLIPPED,Wurth Elektronik ,686115148922,Top,
C1 C2 C3 C4 C5,5,C_1u_0603,0603-cap,WALSIN,0603X105K160CT,Bottom,
C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C9,16,C_100n_0402_6V3,0402-cap,Walsin,0402X104K6R3CT,Bottom,
C25 C26,2,C_4u7_0402,0402-cap,MURATA,GRM155R60G475ME,Bottom,
D1 D3 D4,3,MBR0540T1G,SOD-123,ON Semiconductor,MBR0540T1G,Bottom,
FB1 FB2,2,BLM18AG601SN1D,0603,Murata Electronics North America,BLM18AG601SN1D,Bottom,
J2,1,DF13A-2P-1.25H,DF13A-2P-1.25H,Hirose,DF13A-2P-1.25H,Bottom,
J4,1,2x20_Header_Female,PinHeader_2x40_P2.54_Drill1mm,MULTICOMP,2214S-40SG-85 ,Bottom,
R1,1,R_0R_0603,0603-res,BOURNS,CR0603-J/-000ELF,Bottom,
R10 R5,2,R_2k_0402,0402-res,VISHAY,CRCW04022K00FKED,Bottom,
R11 R12 R13 R14 R15 R16 R17 R18 R19 R2 R20 R21 R22 R23 R24 R25 R26 R27 R28 R29 R3 R30 R31 R32 R33 R42 R43 R48 R49 R58 R59 R60 R8,33,R_0R_0402,0402-res,PANASONIC,ERJ2GE0R00X,Bottom,
R34,1,R_470R_0402,0402-res,VISHAY,CRCW0402470RFKED.,Bottom,
R35 R36 R37 R38 R39 R40 R41,7,R_330R_0402,0402-res,MULTICOMP,MCMR04X3300FTL,Bottom,
R4 R6 R7,3,R_10k_0402,0402-res,VISHAY,CRCW040210K0FKEDHP,Bottom,
R61,1,R_220R_0402,0402-res,TE_CONNECTIVITY_/_NEOHM,CRG0402J220R,Bottom,
R9,1,R_12k_0402,0402-res,VISHAY,CRCW040212K0FKEDHP,Bottom,
S1,1,EVQPUA02K,Panasonic_EVQPUJ_EVQPUA,Panasonic,EVQPUA02K,Bottom,
U1,1,MCP1700T-3302E_TT,SOT-23-3,Microchip Technology,MCP1700T-3302E/TT,Bottom,
U2 U3 U4,3,NTS0104BQ,QDHVQFN14,NXP Semiconductors,NTS0104BQ,Bottom,
U5,1,93LC56CT-IMC,DFN-8_2x3mm,Microchip,93LC56CT-I/MC,Bottom,
U6,1,FT4232HQ,FT4232HQ,FTDI,FT4232HQ,Bottom,
U7 U8,2,NTB0104BQ,QDHVQFN14,NXP Semiconductors,NTB0104BQ,Bottom,
Y1,1,ASFLMB-12.000MHZ-LC-T,ASFLMB,TXC,ASFLMB-12.000MHZ-LC-T,Bottom,
R44 R45 R46 R47 R50 R51 R52 R53 R54 R55 R56 R57,12,R_0R_0402,0402-res,PANASONIC,ERJ2GE0R00X,DNP,
N2,1,zglue_logo,zglue-logo,,,Virtual,
N3,1,oshw_logo,oshw-logo,,,Virtual,
TP1 TP10 TP11 TP12 TP13 TP14 TP15 TP16 TP17 TP18 TP19 TP2 TP20 TP21 TP22 TP23 TP3 TP4 TP5 TP6 TP7 TP8 TP9,23,TP_SMD1MM,Testpoint_smd_1mm,,,Virtual,
VCCIO1 VCCIO2 VCCIO3,3,Jumper_3_Open-Jumper,,,,Virtual,
